Name,Incident,Penalty Points
ShingoBilova,Total Penalty Points,9
Madsgaming08,Total Penalty Points,1
F0bba,Total Penalty Points,0
Spaghetti806,Total Penalty Points,2
ManiFake,Total Penalty Points,2
intergost507,Total Penalty Points,2
