Name,Incident,Penalty Points
InitialYeet,Total Penalty Points,1
F0bba,Total Penalty Points,0
neebster,Total Penalty Points,7
Thorpe,Total Penalty Points,5
Turbo49,Total Penalty Points,1
ImCentii,Total Penalty Points,3
