Name,Incident,Penalty Points
ImCentii,Total Penalty Points,0
JokerFruit029,Total Penalty Points,2
F0bba,Total Penalty Points,0
Turbo49,Total Penalty Points,1
ZiphloWasTaken,Total Penalty Points,0
mola,Total Penalty Points,0
Adam404,Total Penalty Points,5
SuperRaptor_1,Total Penalty Points,0
2-Step_Vapor,Total Penalty Points,2
xMrSediiBoss,Total Penalty Points,1
Spaghetti806,Total Penalty Points,0
