Name,Incident,Penalty Points
F0BBa,Total Penalty Points,0
Adam404,Total Penalty Points,4
ImCentii,Total Penalty Points,9
SuperRaptor_1,Total Penalty Points,0
DormantCurrawong,Total Penalty Points,1
intergost507,Total Penalty Points,4
Turbo49,Total Penalty Points,0
JokerFruit029,Total Penalty Points,1
bowtie_dylan,Total Penalty Points,0
willy_wanka2,Total Penalty Points,1
