Name,Incident,Penalty Points
Ender34,Failure to comply,2
Ender34,Reckless/endangering driving,3
Ender34,Total Penalty Points,5
Firerock,Corner cut,2
Firerock,Total Penalty Points,2
Jord Luvenile,Disrupting the race,5
Jord Luvenile,Total Penalty Points,5
